,date,review,rating,status,length,label,language_scores,language,scores,compound,sentiment
0,2021-03-09,Still difficult for me get to used to listen the computer talk.,4,completer,63,pos,"{'language': 'en', 'score': 0.9999954275035461}",en,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.3612}",-0.3612,neg
1,2021-03-08,"very good course, i think there could be a little more about R programming",4,completer,74,pos,"{'language': 'en', 'score': 0.9999976742625711}",en,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4927}",0.4927,pos
2,2021-03-08,"Instructions are clear, pace is good and thanks to this knowledge is learnt.",5,completer,76,pos,"{'language': 'en', 'score': 0.9999965864363265}",en,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.8126}",0.8126,pos
3,2021-03-07,"This course was amazing, mostly teaches how to manage your work as a Data Scientist. Essentially it's is a great course to take if you feel like you have no idea on how data science workspace is managed. I found GitHub to be a very useful tool! I will defs be using it in the future. ",4,completer,284,pos,"{'language': 'en', 'score': 0.9999966019854107}",en,"{'neg': 0.035, 'neu': 0.741, 'pos': 0.224, 'compound': 0.9133}",0.9133,pos
4,2021-03-07,Easy exploratory course,5,completer,23,pos,"{'language': 'en', 'score': 0.9999949623133836}",en,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,pos
5,2021-03-06,It's very useful for me to get a new skill.,5,completer,43,pos,"{'language': 'en', 'score': 0.9999965584928874}",en,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4927}",0.4927,pos
6,2021-03-05,"The course material was in a structured manner and very easy to understand. One feedback I would like give is that there should be a form of one to one communication with instructors, so that students can clarify their technical doubts since this is a course based on coding.",5,completer,275,pos,"{'language': 'en', 'score': 0.9999973018707851}",en,"{'neg': 0.044, 'neu': 0.842, 'pos': 0.114, 'compound': 0.5413}",0.5413,pos
7,2021-03-05,Well prepared! An essential course for understanding data science.,5,completer,66,pos,"{'language': 'en', 'score': 0.8571398431703157}",en,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.5093}",0.5093,pos
8,2021-03-04,Great beginners course. sets up to R programming course very well.,5,completer,66,pos,"{'language': 'en', 'score': 0.9999969014939816}",en,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7574}",0.7574,pos
9,2021-03-03,Good overview and introduction to the full world,5,completer,48,pos,"{'language': 'en', 'score': 0.9999990437858337}",en,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,pos
10,2021-03-02,Clear and relevant content that is easy to understand and follow. My only gripe is that the lectures given in text-to-speech robot voice are dreadful. It's not a deal-breaker since there was the option to read everything instead.,4,completer,229,pos,"{'language': 'en', 'score': 0.9999981319505316}",en,"{'neg': 0.068, 'neu': 0.802, 'pos': 0.13, 'compound': 0.3818}",0.3818,pos
11,2021-03-02,Fantastic course to get you started with you Data Science career. A course that dives well in to the fundamental needs in order to learn and perform Data Science projects!!,5,completer,172,pos,"{'language': 'en', 'score': 0.9999968934004824}",en,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.7418}",0.7418,pos
12,2021-03-01,Link does not blue-highlight in the last question and confuses the graders to think that the link does not work.,2,completer,112,neg,"{'language': 'en', 'score': 0.9999970600714478}",en,"{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.3182}",-0.3182,neg
