,date,review,rating,status,length,label,language_scores,language,scores,compound,sentiment
0,2021-03-11,This course has a good overview of data science and it's related concepts. It also focuses on difference between related terminologies around data science. You will get to learn from Industry experts and author. I got a good understanding of data science and its application to relevant field. I am sure you too will have same feeling after completing the course. Cheers!,5,completer,371,pos,"{'language': 'en', 'score': 0.9999957253533018}",en,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.8999}",0.8999,pos
1,2021-03-11,Greate Course,5,completer,13,pos,"{'language': 'en', 'score': 0.999994475073214}",en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
2,2021-03-10,have an overall understanding of data science and what future it looks,5,completer,70,pos,"{'language': 'en', 'score': 0.9999964991174284}",en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
3,2021-03-10,Course creates interest to keep on learning,4,completer,43,pos,"{'language': 'en', 'score': 0.9999949953681738}",en,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.6249}",0.6249,pos
4,2021-03-10,"Even though I have been self-teaching for about a year now, I was surprised how much I learned in this course about the field and its applications. ",5,completer,148,pos,"{'language': 'en', 'score': 0.9999963070938086}",en,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.2263}",0.2263,pos
5,2021-03-10,Good intro,5,completer,10,pos,"{'language': 'en', 'score': 0.9999938195647258}",en,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
6,2021-03-09,Good introduction,4,completer,17,pos,"{'language': 'en', 'score': 0.9999961296918722}",en,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
7,2021-03-09,The explanation is awesome with a rich content,4,completer,46,pos,"{'language': 'en', 'score': 0.9999948368826577}",en,"{'neg': 0.0, 'neu': 0.394, 'pos': 0.606, 'compound': 0.8271}",0.8271,pos
8,2021-03-09,"I finally got answers to some of my questions related to the data science field. Now I am confident that I can answer some of the questions like ""why data science"", ""What is the purpose of it"" and others more. Thank you so much for sharing this course. It helped a lot.",5,completer,269,pos,"{'language': 'en', 'score': 0.9999940552747923}",en,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.8899}",0.8899,pos
9,2021-03-09,Excellent!,5,completer,10,pos,"{'language': 'ca', 'score': 0.9999964952391961}",ca,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6114}",0.6114,pos
10,2021-03-09,Very basic and sometimes confusing ,3,completer,35,neu,"{'language': 'en', 'score': 0.99999810471737}",en,"{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.2263}",-0.2263,neg
11,2021-03-08,I have a great understanding of the role of the data scientist and their objective.Its great to know all the parts that make up data science and how data science has changed the world today.The videos interviews give perspective and understanding of the role of a data scientist and the new tools and trends in data science.The readings are great as they solidify what is being said in the interviews.Great course!,5,completer,414,pos,"{'language': 'en', 'score': 0.999996947080612}",en,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.9273}",0.9273,pos
12,2021-03-07,"Great course to get introduced to the sexiest job of 21st century, to Data Science",5,completer,82,pos,"{'language': 'en', 'score': 0.999996545304881}",en,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6249}",0.6249,pos
13,2021-03-07,Thanks for the course. Now I know what are the competences that I need to become a data scientist.,5,completer,98,pos,"{'language': 'en', 'score': 0.9999971816259543}",en,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,pos
14,2021-03-07,very nice course,5,completer,16,pos,"{'language': 'en', 'score': 0.9999964135432878}",en,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,pos
15,2021-03-07,This course helps me to gain knowledge about whats data science actually is.,5,completer,76,pos,"{'language': 'en', 'score': 0.99999722196194}",en,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.7184}",0.7184,pos
