,date,review,rating,status,length,label,language_scores,language,scores,compound,sentiment
0,2021-03-10,Some of the lab instructions are out of synch with the screenshots. Also some of the external sites references look and work differently then the screenshots or instructions. The section about the IBM tools is a huge dump of information that's somewhat confusing and doesn't appear very practical/usable to someone new to the field. The Git command line part looks very amateurish and is very hard to follow up by someone new to the subject. ,3,completer,442,neu,"{'language': 'en', 'score': 0.999997056713954}",en,"{'neg': 0.075, 'neu': 0.895, 'pos': 0.029, 'compound': -0.3818}",-0.3818,neg
1,2021-03-10,Very nice course. ,5,completer,18,pos,"{'language': 'en', 'score': 0.9999965592297603}",en,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,pos
2,2021-03-10,I have learned much knowledge about data science. And there are so many tools and programming languages to deal with it. They are useful and Intelligent and i  have more interest to join the data sicence world.,5,completer,210,pos,"{'language': 'en', 'score': 0.9999959027806586}",en,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.8923}",0.8923,pos
3,2021-03-08,Clear Idea about the Data Science and its tools,5,completer,47,pos,"{'language': 'en', 'score': 0.9999971743061971}",en,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,pos
4,2021-03-08,"Nice overview, though the course materials have not been updated for more detailed navigation within IBM Cloud Pak for Data, in addition, in would be much  more convenient if in all of the videos there there would be possibility to save shorter specific notes at particular timestamps, there problems with the IBM Cloud Pak Lite subscription which has limited usage and one has to wait until the counter is updated in the beginning of the next month.",3,completer,450,neu,"{'language': 'en', 'score': 0.9999962557747355}",en,"{'neg': 0.055, 'neu': 0.873, 'pos': 0.072, 'compound': 0.34}",0.34,pos
5,2021-03-07,A great introductory course to learn entire ecosystem of tools used by data scientists,5,completer,86,pos,"{'language': 'en', 'score': 0.9999973606606977}",en,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6249}",0.6249,pos
6,2021-03-06,There were some parts. It's too much details about name of another package and brand name of it or something. Really difficult to digest it in a few hour. ,3,completer,155,neu,"{'language': 'en', 'score': 0.9999950418548255}",en,"{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.4201}",-0.4201,neg
7,2021-03-05,"the first week is really impossible to follow, too many inofrmations and given too quickly and there's no meaning in listing all those programs. Second week is the best one in my view, and very well organized. About the last 2 weeks: a course on tools cannot be focused 50% on IBM tools, which, by the way, nobody uses.",2,completer,319,neg,"{'language': 'en', 'score': 0.9999971488825381}",en,"{'neg': 0.069, 'neu': 0.828, 'pos': 0.103, 'compound': 0.4954}",0.4954,pos
8,2021-03-05,some jargon difficult for newcomers to this field,4,completer,49,pos,"{'language': 'en', 'score': 0.9999965688204738}",en,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.3612}",-0.3612,neg
9,2021-03-04,"Too basic info, and a whole host of shameless self-promotion. This course's usefulness is in 30 minutes of videos about Python, R, and SQL that give erroneous information and then followed by three weeks of discussing IBM tools. And you have to pay a subscription fee for the privilege of having a product sold to you. Disgusting.",1,completer,330,neg,"{'language': 'en', 'score': 0.9999979112756167}",en,"{'neg': 0.159, 'neu': 0.766, 'pos': 0.075, 'compound': -0.6486}",-0.6486,neg
10,2021-03-04,"Very simple and comprehensive introduction to Jupiter, Github and Watson Studio. To my mind the intro to Git and Github is one of the best in terms of quickly learning the tool.",4,completer,177,pos,"{'language': 'en', 'score': 0.9999960847022662}",en,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.7553}",0.7553,pos
11,2021-03-02,Some updates are needed to ensure the video instructions tally with the particular website's content.,4,completer,101,pos,"{'language': 'en', 'score': 0.9999976411276488}",en,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.3818}",0.3818,pos
