,date,review,rating,status,length,label,language_scores,language,scores,compound,sentiment
0,2021-03-11,"Interesting and clear, the difficulty in the exercises escalates pretty quickly and some exercise and clarifications are not the best. Very interesting and well structured course overall",4,completer,186,pos,"{'language': 'en', 'score': 0.9999988844000527}",en,"{'neg': 0.146, 'neu': 0.505, 'pos': 0.35, 'compound': 0.7957}",0.7957,pos
1,2021-03-11,"great, i have learned basics of python from this course.",5,completer,56,pos,"{'language': 'en', 'score': 0.9999970049413354}",en,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.6249}",0.6249,pos
2,2021-03-10,Recommended,5,completer,11,pos,"{'language': 'en', 'score': 0.8571409981818681}",en,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",0.2023,pos
3,2021-03-10,excellent,5,completer,9,pos,"{'language': 'ca', 'score': 0.8571389147750391}",ca,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,pos
4,2021-03-10,Tamada sir is my biggest inspiration to complete the courseInspired to make GTA Vice city with scratch,5,completer,102,pos,"{'language': 'en', 'score': 0.9999982800455944}",en,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}",0.5267,pos
5,2021-03-10,good and easy learning,3,completer,22,neu,"{'language': 'en', 'score': 0.9999977455216658}",en,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",0.7003,pos
6,2021-03-09,Great Python Class. Thank you.,5,completer,30,pos,"{'language': 'en', 'score': 0.9999957202295635}",en,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.765}",0.765,pos
7,2021-03-09,"I am a beginner in Python. This course covered a lot and I understand a lot more now. However, there were always steps and explanations missing. The labs were basically clear until some of the practice exercises which required a lot of things that were not included in the course. The labs in general, however, were very useful.As many people wrote, there were so many mistakes in spelling and sometimes even in the code. Shame on IBM for not having someone proofread! Furthermore, this robotic woman never stops and never intonates when something changes on the slides. Presentations were so poor. Were they given to a student as homework to create? I don't have anything against Indians, but did the course really need to be outsourced to India to be created? I am sure that if IBM had run this course with its employees as a trial group, it never would have been released as it is. I'm sure that IBM would not offer this course to its employees. In any case, I am happy that I went through it, but am looking for other courses/resources to actually understand Python.",2,completer,1070,neg,"{'language': 'en', 'score': 0.9999964127299616}",en,"{'neg': 0.041, 'neu': 0.862, 'pos': 0.096, 'compound': 0.8919}",0.8919,pos
8,2021-03-09,"Excellent class. Great overview of python. It starts from the very basics of python and leads you all the way to web scraping with powerful tools.The labs are very well done and explained. I recommend this course to both people who have no knowledge of python, and people who already know python but want to learn its data science tools.",5,completer,337,pos,"{'language': 'en', 'score': 0.9999969622498789}",en,"{'neg': 0.025, 'neu': 0.796, 'pos': 0.179, 'compound': 0.7962}",0.7962,pos
9,2021-03-09,"The course goes from informational video, to a lab explaining the exact same information as the video, then an impossible exercise within the lab comprised of information that was not covered in any of the previous sections, and then a quiz containing material covered.With the current flow of the course one is able to retain the theories discussed but absolutely cannot generate the code from scratch if asked to.I have completed the entire Introduction to Data Science Specialization, which did a terrific job of compounding information on top of each other, building up to the final assessment that you've now been prepared for. I was extremely disappointed that this course was not as well put as the first program. I am now skeptical about the remaining courses in the Certification programs I plan on pursuing.",2,completer,817,neg,"{'language': 'en', 'score': 0.9999964829077006}",en,"{'neg': 0.069, 'neu': 0.87, 'pos': 0.062, 'compound': -0.2641}",-0.2641,neg
10,2021-03-09,The class goes too fast. Week 5 was particularly challenging. I had to do this class several times to grasp the basic concepts,3,completer,126,neu,"{'language': 'en', 'score': 0.9999976833392709}",en,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.2247}",0.2247,pos
11,2021-03-08,Good for me,5,completer,11,pos,"{'language': 'en', 'score': 0.8571398723522423}",en,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,pos
12,2021-03-08,ITS REALLY AWESOME TO LEARN IN THIS PLATFORM.,5,completer,45,pos,"{'language': 'en', 'score': 0.9999956869157686}",en,"{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.659}",0.659,pos
