,date,review,rating,status,length,label,compound,sentiment,preprocessed,topic_id,topic_score
0,2021-03-09,Still difficult for me get to used to listen the computer talk.,4,completer,63,pos,-0.3612,neg,"['still', 'difficult', 'get', 'use', 'listen', 'computer', 'talk']",2.0,0.5088231563568115
1,2021-03-08,"very good course, i think there could be a little more about R programming",4,completer,74,pos,0.4927,pos,"['course', 'think', 'little', 'r', 'programming']",1.0,0.9168170094490051
2,2021-03-08,"Instructions are clear, pace is good and thanks to this knowledge is learnt.",5,completer,76,pos,0.8126,pos,"['instruction', 'clear', 'pace', 'thanks', 'knowledge', 'learnt']",0.0,0.6339830756187439
3,2021-03-07,"This course was amazing, mostly teaches how to manage your work as a Data Scientist. Essentially it's is a great course to take if you feel like you have no idea on how data science workspace is managed. I found GitHub to be a very useful tool! I will defs be using it in the future. ",4,completer,284,pos,0.9133,pos,"['course', 'amaze', 'mostly', 'teach', 'manage', 'work', 'data', 'scientist', 'essentially', 'course', 'take', 'feel', 'idea', 'data', 'science', 'workspace', 'manage', 'find', 'github', 'useful', 'tool', 'defs', 'use', 'future']",0.0,0.6943334341049194
4,2021-03-07,Easy exploratory course,5,completer,23,pos,0.4404,pos,"['easy', 'exploratory', 'course']",0.0,0.5769614577293396
5,2021-03-06,It's very useful for me to get a new skill.,5,completer,43,pos,0.4927,pos,"['useful', 'get', 'new', 'skill']",0.0,0.8993319272994995
6,2021-03-05,"The course material was in a structured manner and very easy to understand. One feedback I would like give is that there should be a form of one to one communication with instructors, so that students can clarify their technical doubts since this is a course based on coding.",5,completer,275,pos,0.5413,pos,"['course', 'material', 'structure', 'manner', 'easy', 'understand', 'one', 'feedback', 'give', 'form', 'one', 'one', 'communication', 'instructor', 'student', 'clarify', 'technical', 'doubt', 'since', 'course', 'base', 'coding']",2.0,0.9782474637031555
7,2021-03-05,Well prepared! An essential course for understanding data science.,5,completer,66,pos,0.5093,pos,"['prepared', 'essential', 'course', 'understand', 'data', 'science']",0.0,0.9302587509155273
8,2021-03-04,Great beginners course. sets up to R programming course very well.,5,completer,66,pos,0.7574,pos,"['beginner', 'course', 'set', 'r', 'program', 'course']",1.0,0.9274086952209473
9,2021-03-03,Good overview and introduction to the full world,5,completer,48,pos,0.4404,pos,"['overview', 'introduction', 'full', 'world']",0.0,0.9012759923934937
10,2021-03-02,Clear and relevant content that is easy to understand and follow. My only gripe is that the lectures given in text-to-speech robot voice are dreadful. It's not a deal-breaker since there was the option to read everything instead.,4,completer,229,pos,0.3818,pos,"['clear', 'relevant', 'content', 'easy', 'understand', 'follow', 'gripe', 'lecture', 'give', 'texttospeech', 'robot', 'voice', 'dreadful', 'dealbreaker', 'since', 'option', 'read', 'everything', 'instead']",2.0,0.9752150774002075
11,2021-03-02,Fantastic course to get you started with you Data Science career. A course that dives well in to the fundamental needs in order to learn and perform Data Science projects!!,5,completer,172,pos,0.7418,pos,"['fantastic', 'course', 'get', 'start', 'data', 'science', 'career', 'course', 'dive', 'fundamental', 'need', 'order', 'learn', 'perform', 'data', 'science', 'project']",0.0,0.8960443735122681
12,2021-03-01,Link does not blue-highlight in the last question and confuses the graders to think that the link does not work.,2,completer,112,neg,-0.3182,neg,"['link', 'bluehighlight', 'last', 'question', 'confuse', 'grader', 'think', 'link', 'work']",2.0,0.9513917565345764
13,2021-03-01,"Great Course, Excellent Delivery",5,completer,32,pos,0.8316,pos,"['course', 'excellent', 'delivery']",0.0,0.5583745241165161
14,2021-03-01,Good basic skills,4,completer,17,pos,0.4404,pos,"['basic', 'skill']",0.0,0.8253399729728699
15,2021-02-27,great job,5,completer,9,pos,0.6249,pos,['job'],0.0,0.7237112522125244
16,2021-02-27,"Super insightful course, I was happy to get to learn to use version control systems. I would recommend it for everyone who is willing to get into data science. This course opens new set of possibilities and provides you the foundation needed to further advance  your skills.",5,completer,274,pos,0.8779,pos,"['super', 'insightful', 'course', 'happy', 'get', 'learn', 'use', 'version', 'control', 'system', 'recommend', 'everyone', 'willing', 'get', 'data', 'science', 'course', 'open', 'new', 'set', 'possibility', 'provide', 'foundation', 'need', 'advance', 'skill']",0.0,0.6527523994445801
17,2021-02-26,Great course I've learnt a lot and I will keep learning and practicing them,5,completer,75,pos,0.6249,pos,"['course', 'ive', 'learnt', 'lot', 'keep', 'learning', 'practice']",0.0,0.9364444613456726
18,2021-02-26,amazing course,5,completer,14,pos,0.5859,pos,"['amazing', 'course']",0.0,0.8267920017242432
19,2021-02-24,Excellent ,5,completer,10,pos,0.5719,pos,['excellent'],0.0,0.7254390716552734
20,2021-02-23,A useful Course for beginners in Data Science.,5,completer,46,pos,0.4404,pos,"['useful', 'course', 'beginner', 'data', 'science']",0.0,0.918420672416687
21,2021-02-23,Easy to understand and follow :),5,completer,32,pos,0.7096,pos,"['easy', 'understand', 'follow']",0.0,0.8695607781410217
22,2021-02-23,It is helpful to grace my knwoledge and i get better knowledge from these course thank u very much.,4,completer,99,pos,0.875,pos,"['helpful', 'grace', 'knwoledge', 'get', 'good', 'knowledge', 'course', 'thank', 'u', 'much']",0.0,0.5396642088890076
23,2021-02-23,It gives a good bases for necessery tools to a future data scientist,5,completer,68,pos,0.4404,pos,"['give', 'base', 'necessery', 'tool', 'future', 'data', 'scientist']",0.0,0.7985084652900696
