,date,review,rating,status,length,label,compound,sentiment,preprocessed,topic_id,topic_score
0,2021-03-11,This course has a good overview of data science and it's related concepts. It also focuses on difference between related terminologies around data science. You will get to learn from Industry experts and author. I got a good understanding of data science and its application to relevant field. I am sure you too will have same feeling after completing the course. Cheers!,5,completer,371,pos,0.8999,pos,"['course', 'overview', 'data', 'science', 'relate', 'concept', 'also', 'focus', 'difference', 'related', 'terminology', 'around', 'data', 'science', 'get', 'learn', 'industry', 'expert', 'author', 'get', 'understanding', 'data', 'science', 'application', 'relevant', 'field', 'sure', 'feel', 'complete', 'course', 'cheer']",1.0,0.8647428154945374
1,2021-03-11,Greate Course,5,completer,13,pos,0.0,neu,"['greate', 'course']",2.0,0.8143154978752136
2,2021-03-10,have an overall understanding of data science and what future it looks,5,completer,70,pos,0.0,neu,"['overall', 'understanding', 'data', 'science', 'future', 'look']",1.0,0.9202494621276855
3,2021-03-10,Course creates interest to keep on learning,4,completer,43,pos,0.6249,pos,"['course', 'create', 'interest', 'keep', 'learning']",0.0,0.9035630822181702
4,2021-03-10,"Even though I have been self-teaching for about a year now, I was surprised how much I learned in this course about the field and its applications. ",5,completer,148,pos,0.2263,pos,"['even', 'though', 'selfteaching', 'year', 'surprise', 'much', 'learn', 'course', 'field', 'application']",0.0,0.685935914516449
5,2021-03-10,Good intro,5,completer,10,pos,0.4404,pos,['intro'],1.0,0.7103856801986694
6,2021-03-09,Good introduction,4,completer,17,pos,0.4404,pos,['introduction'],1.0,0.7123096585273743
7,2021-03-09,The explanation is awesome with a rich content,4,completer,46,pos,0.8271,pos,"['explanation', 'awesome', 'rich', 'content']",2.0,0.8935639262199402
8,2021-03-09,"I finally got answers to some of my questions related to the data science field. Now I am confident that I can answer some of the questions like ""why data science"", ""What is the purpose of it"" and others more. Thank you so much for sharing this course. It helped a lot.",5,completer,269,pos,0.8899,pos,"['finally', 'get', 'answer', 'question', 'relate', 'data', 'science', 'field', 'confident', 'answer', 'question', 'data', 'science', 'purpose', 'others', 'thank', 'much', 'sharing', 'course', 'help', 'lot']",0.0,0.5149303078651428
9,2021-03-09,Excellent!,5,completer,10,pos,0.6114,pos,['excellent'],2.0,0.7138928771018982
10,2021-03-09,Very basic and sometimes confusing ,3,completer,35,neu,-0.2263,neg,"['basic', 'sometimes', 'confuse']",0.0,0.6324555277824402
11,2021-03-08,I have a great understanding of the role of the data scientist and their objective.Its great to know all the parts that make up data science and how data science has changed the world today.The videos interviews give perspective and understanding of the role of a data scientist and the new tools and trends in data science.The readings are great as they solidify what is being said in the interviews.Great course!,5,completer,414,pos,0.9273,pos,"['understanding', 'role', 'data', 'scientist', 'objectiveits', 'know', 'part', 'make', 'data', 'science', 'data', 'science', 'change', 'world', 'todaythe', 'videos', 'interview', 'give', 'perspective', 'understanding', 'role', 'data', 'scientist', 'new', 'tool', 'trend', 'data', 'sciencethe', 'reading', 'solidify', 'say', 'interviewsgreat', 'course']",1.0,0.651130199432373
12,2021-03-07,"Great course to get introduced to the sexiest job of 21st century, to Data Science",5,completer,82,pos,0.6249,pos,"['course', 'get', 'introduce', 'sexy', 'job', '21st', 'century', 'data', 'science']",1.0,0.5174691081047058
13,2021-03-07,Thanks for the course. Now I know what are the competences that I need to become a data scientist.,5,completer,98,pos,0.4404,pos,"['thanks', 'course', 'know', 'competence', 'need', 'become', 'data', 'scientist']",1.0,0.8490281701087952
14,2021-03-07,very nice course,5,completer,16,pos,0.4754,pos,['course'],2.0,0.7015308737754822
15,2021-03-07,This course helps me to gain knowledge about whats data science actually is.,5,completer,76,pos,0.7184,pos,"['course', 'help', 'gain', 'knowledge', 'whats', 'data', 'science', 'actually']",1.0,0.942036509513855
16,2021-03-06,Best Course for Beginners in Data Science Field.,5,completer,48,pos,0.6369,pos,"['best', 'course', 'beginner', 'data', 'science', 'field']",1.0,0.922085702419281
17,2021-03-06,Thanks to IBM and Coursera.this is really a great introductory course.,4,completer,70,pos,0.807,pos,"['thanks', 'ibm', 'courserathis', 'introductory', 'course']",2.0,0.9105557203292847
18,2021-03-05,Nice course,5,completer,11,pos,0.4215,pos,['course'],2.0,0.7014495730400085
19,2021-03-05,"This course was good introduction. However, the tests should be less memory based and more concept based. ",4,completer,106,pos,0.4404,pos,"['course', 'introduction', 'however', 'test', 'less', 'memory', 'base', 'concept', 'base']",0.0,0.5141172409057617
20,2021-03-05,Great course to start your Data Science Learning,5,completer,48,pos,0.6249,pos,"['course', 'start', 'data', 'science', 'learning']",1.0,0.9098787903785706
21,2021-03-05,insightful and enlightening,5,completer,27,pos,0.5106,pos,"['insightful', 'enlighten']",2.0,0.8144443035125732
22,2021-03-05,the  course covers basic concept of Data Science concept. it is more useful for beginners who want to know more about Data Science,5,completer,130,pos,0.5413,pos,"['course', 'cover', 'basic', 'concept', 'data', 'science', 'concept', 'useful', 'beginner', 'want', 'know', 'data', 'science']",1.0,0.9628570675849915
23,2021-03-04,Introduction to data science and the job of data scientist was cleared,4,completer,70,pos,0.1027,pos,"['introduction', 'data', 'science', 'job', 'data', 'scientist', 'clear']",1.0,0.9345970749855042
24,2021-03-04,payment ,1,completer,8,neg,0.0,neu,['payment'],2.0,0.7134465575218201
25,2021-03-04,"This course defines a data and data scientist along with the scope, responsibility in a very simple and broadly.",5,completer,112,pos,0.0,neu,"['course', 'defines', 'data', 'data', 'scientist', 'along', 'scope', 'responsibility', 'simple', 'broadly']",1.0,0.822563886642456
26,2021-03-04,It is made easy to listen and learn. Perfect lecture delivery!,5,completer,62,pos,0.784,pos,"['make', 'easy', 'listen', 'learn', 'perfect', 'lecture', 'delivery']",2.0,0.9318928122520447
27,2021-03-04,Best course for understanding base of the data science,5,completer,54,pos,0.6369,pos,"['best', 'course', 'understanding', 'base', 'data', 'science']",1.0,0.9229028224945068
28,2021-03-04,amazing course for understanding the term data science in detail,5,completer,64,pos,0.5859,pos,"['amaze', 'course', 'understanding', 'term', 'data', 'science', 'detail']",1.0,0.9335618615150452
29,2021-03-03,It was a well structured intro to data science :),5,completer,49,pos,0.6249,pos,"['well', 'structure', 'intro', 'data', 'science']",1.0,0.5798662900924683
30,2021-03-03,An interesting and gentle introduction to basic concepts of data science,4,completer,72,pos,0.6808,pos,"['interesting', 'gentle', 'introduction', 'basic', 'concept', 'data', 'science']",1.0,0.9338120222091675
31,2021-03-03,"Well structured, detailed and varied contents.",5,completer,46,pos,0.2732,pos,"['well', 'structure', 'detail', 'varied', 'content']",2.0,0.9115626811981201
32,2021-03-03,I like the course as it is well explained and detailed information about Data Science.,5,completer,86,pos,0.5574,pos,"['course', 'well', 'explain', 'detailed', 'information', 'data', 'science']",2.0,0.5170349478721619
33,2021-03-03,You can find what is data science and how you do that.,4,completer,54,pos,0.0,neu,"['find', 'data', 'science']",1.0,0.8602272272109985
34,2021-03-03,Great Course by IBM! Really appreciate that they had given a very good idea about Data Science. I have done other courses too but didn't get study material like this anywhere. Best for beginners. ,5,completer,196,pos,0.9431,pos,"['course', 'ibm', 'appreciate', 'give', 'idea', 'data', 'science', 'do', 'course', 'didnt', 'get', 'study', 'material', 'anywhere', 'best', 'beginner']",1.0,0.4653516411781311
35,2021-03-03,Definetely very useful to start knowing about Data Sciencia if you do not have any idea. ,5,completer,89,pos,0.4927,pos,"['definetely', 'useful', 'start', 'know', 'data', 'sciencia', 'idea']",1.0,0.9345172643661499
36,2021-03-03,"Good introduction to the job as a data scientist, but not that explanatory for the field of data science.",5,dropout,105,pos,0.2382,pos,"['introduction', 'job', 'data', 'scientist', 'explanatory', 'field', 'data', 'science']",1.0,0.9422976970672607
37,2021-03-02,"This course was a pure not technical. May be suitable for
sales people or for managers. But as a developer, it was a total wastage of time.",1,dropout,139,neg,0.0,neu,"['course', 'pure', 'technical', 'may', 'suitable', 'sale', 'people', 'manager', 'developer', 'total', 'wastage', 'time']",0.0,0.8928027153015137
38,2021-03-02,The course is excellent. The videos and the notes are all helpful.,5,completer,66,pos,0.7579,pos,"['course', 'excellent', 'videos', 'note', 'helpful']",0.0,0.640110433101654
39,2021-03-02,"Good course to give you a layout of some of the ideas behind Data Science. My only complaint that it lacks some hands-on work, even just a bit- to dive a bit deeper in to the subject.",4,completer,183,pos,0.1779,pos,"['course', 'give', 'layout', 'idea', 'behind', 'data', 'science', 'complaint', 'lack', 'handson', 'work', 'even', 'bit', 'dive', 'bit', 'deep', 'subject']",0.0,0.4979957938194275
40,2021-03-01,Nice explanations on Data Science,5,completer,33,pos,0.4215,pos,"['explanation', 'data', 'science']",1.0,0.8590238094329834
41,2021-03-01,Excellent introductory course,5,completer,29,pos,0.5719,pos,"['excellent', 'introductory', 'course']",2.0,0.861447811126709
42,2021-03-01,The course is well structured and anyone new to data science can learn. ,5,completer,72,pos,0.2732,pos,"['course', 'well', 'structure', 'anyone', 'new', 'data', 'science', 'learn']",1.0,0.6202188730239868
43,2021-03-01,Very Informative. Thank you.,5,completer,28,pos,0.4173,pos,"['informative', 'thank']",0.0,0.4698585569858551
44,2021-03-01,Very good course so well structured that the effort of understanding is so little to understand very well,5,completer,105,pos,0.7893,pos,"['course', 'well', 'structured', 'effort', 'understand', 'little', 'understand', 'well']",2.0,0.8053814768791199
45,2021-03-01,all worth it ,5,completer,13,pos,0.2263,pos,['worth'],0.0,0.709282398223877
46,2021-03-01,"this course is very very helpful and the explanation given is very clear, thank you!",5,completer,84,pos,0.8532,pos,"['course', 'helpful', 'explanation', 'give', 'clear', 'thank']",1.0,0.5079870820045471
47,2021-03-01,Very informative and well organized.,5,completer,36,pos,0.3321,pos,"['informative', 'well', 'organize']",2.0,0.5028555393218994
48,2021-02-28,The pace of this course was quite slow. Good understanding of what data science is and exposure to ibm professionals was interesting ,4,completer,133,pos,0.7076,pos,"['pace', 'course', 'quite', 'slow', 'understanding', 'data', 'science', 'exposure', 'ibm', 'professional', 'interest']",0.0,0.5470587611198425
49,2021-02-27,Well laid out but all theoretical at this point; added little value.,4,completer,68,pos,0.4957,pos,"['well', 'laid', 'theoretical', 'point', 'add', 'little', 'value']",2.0,0.4990440309047699
50,2021-02-27,It's really great for introductory course :),5,completer,44,pos,0.8122,pos,"['introductory', 'course']",1.0,0.8059953451156616
