,date,review,rating,status,length,label,compound,sentiment,preprocessed,topic_id,topic_score
0,2021-03-11,"Interesting and clear, the difficulty in the exercises escalates pretty quickly and some exercise and clarifications are not the best. Very interesting and well structured course overall",4,completer,186,pos,0.7957,pos,"['interest', 'clear', 'difficulty', 'exercise', 'escalate', 'pretty', 'quickly', 'exercise', 'clarification', 'best', 'interest', 'well', 'structure', 'course', 'overall']",0.0,0.7999363541603088
1,2021-03-11,"great, i have learned basics of python from this course.",5,completer,56,pos,0.6249,pos,"['learn', 'basic', 'python', 'course']",0.0,0.8755788803100586
2,2021-03-10,Recommended,5,completer,11,pos,0.2023,pos,['recommend'],0.0,0.6738770008087158
3,2021-03-10,excellent,5,completer,9,pos,0.5719,pos,['excellent'],0.0,0.6836878061294556
4,2021-03-10,Tamada sir is my biggest inspiration to complete the courseInspired to make GTA Vice city with scratch,5,completer,102,pos,0.5267,pos,"['tamada', 'sir', 'big', 'inspiration', 'complete', 'courseinspired', 'make', 'gta', 'vice', 'city', 'scratch']",2.0,0.7478806972503662
5,2021-03-10,good and easy learning,3,completer,22,neu,0.7003,pos,"['easy', 'learning']",0.0,0.770416259765625
6,2021-03-09,Great Python Class. Thank you.,5,completer,30,pos,0.765,pos,"['python', 'class', 'thank']",0.0,0.8389995098114014
7,2021-03-09,"I am a beginner in Python. This course covered a lot and I understand a lot more now. However, there were always steps and explanations missing. The labs were basically clear until some of the practice exercises which required a lot of things that were not included in the course. The labs in general, however, were very useful.As many people wrote, there were so many mistakes in spelling and sometimes even in the code. Shame on IBM for not having someone proofread! Furthermore, this robotic woman never stops and never intonates when something changes on the slides. Presentations were so poor. Were they given to a student as homework to create? I don't have anything against Indians, but did the course really need to be outsourced to India to be created? I am sure that if IBM had run this course with its employees as a trial group, it never would have been released as it is. I'm sure that IBM would not offer this course to its employees. In any case, I am happy that I went through it, but am looking for other courses/resources to actually understand Python.",2,completer,1070,neg,0.8919,pos,"['beginner', 'python', 'course', 'cover', 'lot', 'understand', 'lot', 'however', 'always', 'step', 'explanation', 'miss', 'lab', 'basically', 'clear', 'practice', 'exercise', 'require', 'lot', 'thing', 'include', 'course', 'lab', 'general', 'however', 'usefulas', 'many', 'people', 'write', 'many', 'mistake', 'spell', 'sometimes', 'even', 'code', 'shame', 'ibm', 'someone', 'proofread', 'furthermore', 'robotic', 'woman', 'never', 'stop', 'never', 'intonate', 'something', 'change', 'slide', 'presentation', 'poor', 'give', 'student', 'homework', 'create', 'dont', 'anything', 'indians', 'course', 'need', 'outsource', 'india', 'create', 'sure', 'ibm', 'run', 'course', 'employee', 'trial', 'group', 'never', 'would', 'release', 'im', 'sure', 'ibm', 'would', 'offer', 'course', 'employee', 'case', 'happy', 'go', 'look', 'coursesresources', 'actually', 'understand', 'python']",2.0,0.8071497082710266
8,2021-03-09,"Excellent class. Great overview of python. It starts from the very basics of python and leads you all the way to web scraping with powerful tools.The labs are very well done and explained. I recommend this course to both people who have no knowledge of python, and people who already know python but want to learn its data science tools.",5,completer,337,pos,0.7962,pos,"['excellent', 'class', 'overview', 'python', 'start', 'basic', 'python', 'lead', 'way', 'web', 'scrap', 'powerful', 'toolsthe', 'lab', 'well', 'do', 'explain', 'recommend', 'course', 'people', 'knowledge', 'python', 'people', 'already', 'know', 'python', 'want', 'learn', 'data', 'science', 'tool']",0.0,0.9797343611717224
9,2021-03-09,"The course goes from informational video, to a lab explaining the exact same information as the video, then an impossible exercise within the lab comprised of information that was not covered in any of the previous sections, and then a quiz containing material covered.With the current flow of the course one is able to retain the theories discussed but absolutely cannot generate the code from scratch if asked to.I have completed the entire Introduction to Data Science Specialization, which did a terrific job of compounding information on top of each other, building up to the final assessment that you've now been prepared for. I was extremely disappointed that this course was not as well put as the first program. I am now skeptical about the remaining courses in the Certification programs I plan on pursuing.",2,completer,817,neg,-0.2641,neg,"['course', 'go', 'informational', 'video', 'lab', 'explain', 'exact', 'information', 'video', 'impossible', 'exercise', 'within', 'lab', 'comprise', 'information', 'cover', 'previous', 'section', 'quiz', 'contain', 'material', 'coveredwith', 'current', 'flow', 'course', 'one', 'able', 'retain', 'theory', 'discuss', 'absolutely', 'cannot', 'generate', 'code', 'scratch', 'ask', 'toi', 'complete', 'entire', 'introduction', 'data', 'science', 'specialization', 'terrific', 'job', 'compound', 'information', 'top', 'building', 'final', 'assessment', 'youve', 'prepare', 'extremely', 'disappointed', 'course', 'well', 'put', 'first', 'program', 'skeptical', 'remain', 'course', 'certification', 'program', 'plan', 'pursue']",0.0,0.5079253315925598
