,date,review,rating,status,length,label,language_score,language,scores,compound,sentiment
0,2021-03-11,"Nice Course for beginners where we can enjoy and learn as well, Dr. Chuck made huge impact by this basic control flow of python. Thanks",5,completer,135,pos,"{'language': 'en', 'score': 0.9999952554167907}",en,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9062}",0.9062,pos
1,2021-03-11,Super easy and totally for the beginners like the course title. Professor's explanations are clear like crystal. There are some cute moments that make you smile :),5,completer,163,pos,"{'language': 'en', 'score': 0.9999965355369269}",en,"{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.9678}",0.9678,pos
2,2021-03-11,Very interactive and a nice course to start programming with Pyhton,5,completer,67,pos,"{'language': 'en', 'score': 0.9999969728448782}",en,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.4703}",0.4703,pos
3,2021-03-11,"Awesome course! Definitely a very nice introduction to the coding world and nevertheless very easy. I will take the other python courses. Thank you so much, Dr.Chuck!",5,completer,166,pos,"{'language': 'en', 'score': 0.9999975171629499}",en,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9448}",0.9448,pos
4,2021-03-11,Perfect for new learners,5,completer,24,pos,"{'language': 'en', 'score': 0.9999971873771439}",en,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,pos
5,2021-03-11,it was so good,5,completer,14,pos,"{'language': 'en', 'score': 0.5714282926135774}",en,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.5777}",0.5777,pos
6,2021-03-11,"It's an amazing course for the beginners.It is a beginner friendly course, If you don't know programming at all you can take this course it will be very helpful.......it teaches the basics of the programming.",5,completer,208,pos,"{'language': 'en', 'score': 0.9999947650852613}",en,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.7906}",0.7906,pos
7,2021-03-11,"

Great course and amazing teacher  ",5,completer,36,pos,"{'language': 'en', 'score': 0.9999967889424812}",en,"{'neg': 0.0, 'neu': 0.275, 'pos': 0.725, 'compound': 0.836}",0.836,pos
8,2021-03-11," Challenging and perfect course for a beginner with python. Awesome instructor with ample input and motivational support to not give up with the new words, logic, and abstract stuff related to computer science. Definitely recommends every learner try the course.",4,completer,262,pos,"{'language': 'en', 'score': 0.9999980017226245}",en,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.9403}",0.9403,pos
9,2021-03-11,Good into to programming using this language,5,completer,44,pos,"{'language': 'en', 'score': 0.9999976016193652}",en,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,pos
10,2021-03-11,BEST AS BEST,5,completer,12,pos,"{'language': 'de', 'score': 0.9999927881249709}",de,"{'neg': 0.0, 'neu': 0.106, 'pos': 0.894, 'compound': 0.8555}",0.8555,pos
11,2021-03-11,Great intro class for python,5,completer,28,pos,"{'language': 'en', 'score': 0.9999975328483669}",en,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,pos
12,2021-03-11,"Nice Course for beginners where we can enjoy and learn as well, Dr. Chuck made huge impact by this basic control flow of python. Thanks",5,completer,135,pos,"{'language': 'en', 'score': 0.9999962738107033}",en,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9062}",0.9062,pos
13,2021-03-11,It's really recommended,5,completer,23,pos,"{'language': 'en', 'score': 0.9999967547614639}",en,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.2716}",0.2716,pos
