,review_index,date,review,rating,status,length,label,language,scores,compound,sentiment
0,0,2021-03-11,"Nice Course for beginners where we can enjoy and learn as well, Dr. Chuck made huge impact by this basic control flow of python.",5,completer,128,pos,en,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.8555}",0.8555,pos
1,0,2021-03-11,Thanks,5,completer,6,pos,en,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
2,1,2021-03-11,Super easy and totally for the beginners like the course title.,5,completer,63,pos,en,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.8519}",0.8519,pos
3,1,2021-03-11,Professor's explanations are clear like crystal.,5,completer,48,pos,en,"{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.6249}",0.6249,pos
4,1,2021-03-11,There are some cute moments that make you smile :),5,completer,50,pos,en,"{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.8176}",0.8176,pos
5,2,2021-03-11,Very interactive and a nice course to start programming with Pyhton,5,completer,67,pos,en,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.4703}",0.4703,pos
6,3,2021-03-11,Awesome course! Definitely a very nice introduction to the coding world and nevertheless very easy.,5,completer,99,pos,en,"{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.9243}",0.9243,pos
7,3,2021-03-11,I will take the other python courses.,5,completer,37,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
8,3,2021-03-11,"Thank you so much, Dr.Chuck!",5,completer,28,pos,en,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.4199}",0.4199,pos
9,4,2021-03-11,Perfect for new learners,5,completer,24,pos,en,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,pos
10,5,2021-03-11,it was so good,5,completer,14,pos,en,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.5777}",0.5777,pos
11,6,2021-03-11,"It's an amazing course for the beginners.It is a beginner friendly course, If you don't know programming at all you can take this course it will be very helpful.......it teaches the basics of the programming.",5,completer,208,pos,en,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.7906}",0.7906,pos
12,7,2021-03-11,"

Great course and amazing teacher  ",5,completer,36,pos,en,"{'neg': 0.0, 'neu': 0.275, 'pos': 0.725, 'compound': 0.836}",0.836,pos
13,8,2021-03-11, Challenging and perfect course for a beginner with python.,4,completer,59,pos,en,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.6486}",0.6486,pos
14,8,2021-03-11,"Awesome instructor with ample input and motivational support to not give up with the new words, logic, and abstract stuff related to computer science.",4,completer,150,pos,en,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.7783}",0.7783,pos
15,8,2021-03-11,Definitely recommends every learner try the course.,4,completer,51,pos,en,"{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.5574}",0.5574,pos
16,9,2021-03-11,Good into to programming using this language,5,completer,44,pos,en,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,pos
17,10,2021-03-11,BEST AS BEST,5,completer,12,pos,de,"{'neg': 0.0, 'neu': 0.106, 'pos': 0.894, 'compound': 0.8555}",0.8555,pos
18,11,2021-03-11,Great intro class for python,5,completer,28,pos,en,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,pos
19,12,2021-03-11,"Nice Course for beginners where we can enjoy and learn as well, Dr. Chuck made huge impact by this basic control flow of python.",5,completer,128,pos,en,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.8555}",0.8555,pos
20,12,2021-03-11,Thanks,5,completer,6,pos,en,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
21,13,2021-03-11,It's really recommended,5,completer,23,pos,en,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.2716}",0.2716,pos
22,14,2021-03-11,its really good for those who have zero knowledge about programming or they are beginners.,5,completer,90,pos,en,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4927}",0.4927,pos
23,14,2021-03-11,,5,completer,0,pos,en,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
24,15,2021-03-11,"This was my first online class, and I truly enjoyed it.",5,completer,55,pos,en,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.7351}",0.7351,pos
25,15,2021-03-11,It is very engaging I managed to finish it it just 2 day.Thank you very much Coursera and Dr. Chuck.,5,completer,100,pos,en,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4005}",0.4005,pos
26,16,2021-03-11,This programming language is of the higher value to us learners,5,completer,63,pos,en,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",0.34,pos
27,17,2021-03-11,Very interactive and a nice course to start programming with Pyhton,5,completer,67,pos,en,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.4703}",0.4703,pos
28,18,2021-03-11,"

Great course and amazing teacher  ",5,completer,36,pos,en,"{'neg': 0.0, 'neu': 0.275, 'pos': 0.725, 'compound': 0.836}",0.836,pos
29,19,2021-03-11,BEST AS BEST,5,completer,12,pos,de,"{'neg': 0.0, 'neu': 0.106, 'pos': 0.894, 'compound': 0.8555}",0.8555,pos
30,20,2021-03-11,Good into to programming using this language,5,completer,44,pos,en,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,pos
31,21,2021-03-11, Challenging and perfect course for a beginner with python.,4,completer,59,pos,en,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.6486}",0.6486,pos
32,21,2021-03-11,"Awesome instructor with ample input and motivational support to not give up with the new words, logic, and abstract stuff related to computer science.",4,completer,150,pos,en,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.7783}",0.7783,pos
33,21,2021-03-11,Definitely recommends every learner try the course.,4,completer,51,pos,en,"{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.5574}",0.5574,pos
34,22,2021-03-11,"This was my first online class, and I truly enjoyed it.",5,completer,55,pos,en,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.7351}",0.7351,pos
35,22,2021-03-11,It is very engaging I managed to finish it it just 2 day.Thank you very much Coursera and Dr. Chuck.,5,completer,100,pos,en,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4005}",0.4005,pos
36,23,2021-03-11,its really good for those who have zero knowledge about programming or they are beginners.,5,completer,90,pos,en,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4927}",0.4927,pos
37,23,2021-03-11,,5,completer,0,pos,en,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
38,24,2021-03-11,It's really recommended,5,completer,23,pos,en,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.2716}",0.2716,pos
39,25,2021-03-11,Super easy and totally for the beginners like the course title.,5,completer,63,pos,en,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.8519}",0.8519,pos
40,25,2021-03-11,Professor's explanations are clear like crystal.,5,completer,48,pos,en,"{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.6249}",0.6249,pos
41,25,2021-03-11,There are some cute moments that make you smile :),5,completer,50,pos,en,"{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.8176}",0.8176,pos
42,26,2021-03-11,This programming language is of the higher value to us learners,5,completer,63,pos,en,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",0.34,pos
43,27,2021-03-11,Great intro class for python,5,completer,28,pos,en,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,pos
44,28,2021-03-11,Awesome course! Definitely a very nice introduction to the coding world and nevertheless very easy.,5,completer,99,pos,en,"{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.9243}",0.9243,pos
45,28,2021-03-11,I will take the other python courses.,5,completer,37,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
46,28,2021-03-11,"Thank you so much, Dr.Chuck!",5,completer,28,pos,en,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.4199}",0.4199,pos
47,29,2021-03-11,Perfect for new learners,5,completer,24,pos,en,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,pos
48,30,2021-03-11,it was so good,5,completer,14,pos,en,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.5777}",0.5777,pos
49,31,2021-03-11,"It's an amazing course for the beginners.It is a beginner friendly course, If you don't know programming at all you can take this course it will be very helpful.......it teaches the basics of the programming.",5,completer,208,pos,en,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.7906}",0.7906,pos
50,32,2021-03-10,Excellent Teaching!!........:),5,completer,30,pos,en,"{'neg': 0.0, 'neu': 0.189, 'pos': 0.811, 'compound': 0.6467}",0.6467,pos
51,33,2021-03-10,Good stuff,5,completer,10,pos,en,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
52,34,2021-03-10,"This was my first  time in Coursera , I know  a little basics of python but my all concepts get cleared from this course and I am very excited to learn more about python and learn more from the excellent instructor Dr chuck it was very fun learning with him.",5,completer,258,pos,en,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.9475}",0.9475,pos
